id	name	label	group_code	category	cost	general_inflow	ad_inflow	bounce	browse	cvr	aov	cpc	description	side_effect	synergy_text	main_kpi
A11	記事コンテンツ追加	A11｜記事コンテンツ追加	C	コンテンツ	2	500	0	0	0.03	0	0	0	SEO記事を継続的に追加する／比較記事やランキング記事を作成する／検索意図に沿った記事構成へ改善する	即効性が低い／継続的な更新工数が発生する	A13（LP改善）→回遊+0.02/CVR+0.001	GI / BR
A12	動画コンテンツ導入	A12｜動画コンテンツ導入	C	コンテンツ	2	0	0	0	0.02	0.0003	0	0	商品動画を掲載する／レビュー動画を制作する／サービス説明動画を導入する	制作コストが高い／読み込み速度へ影響する可能性がある	A18（LINE施策）→一般流入+200/回遊+0.02/CVR+0.0005/AOV+100	BR / CVR
A13	LP改善	A13｜LP改善	D	CVR	2	0	0	0	0	0.001	0	0	CTA配置を最適化する／購入前の不安解消要素を追加する／訴求内容をターゲット別に調整する	回遊率が低下する可能性がある／訴求過多で信頼性が下がる場合がある	A22（ターゲティング改善）→広告流入+300/CVR+0.001/CPC-3	CVR
A14	フォーム改善	A14｜フォーム改善	D	CVR	2	0	0	0	0	0.0007	0	0	入力項目を削減する／エラー表示を改善する／スマホ入力を最適化する	情報不足になる可能性がある／誤入力が増加する可能性がある	A05（ファーストビュー改善）→離脱-0.03/CVR+0.0015	CVR
A15	ABテスト	A15｜ABテスト	D	CVR	1	0	0	0	0	0.0005	0	0	複数LPを比較検証する／コピーやデザインを比較する／UI改善案をテストする	判断に時間がかかる／検証工数が増加する		CVR
A16	限定キャンペーン	A16｜限定キャンペーン	D	CVR	2	0	0	0	0	0.001	100	0	期間限定割引を実施する／特典キャンペーンを導入する／数量限定販売を行う	利益率が低下する／ブランド価値が下がる可能性がある	A17（メルマガ強化）→一般流入+300/CVR+0.0015/AOV+200	CVR / AOV
A17	メルマガ強化	A17｜メルマガ強化	E	CRM	1	300	0	0	0	0.001	50	0	セグメント別メルマガを配信する／キャンペーン情報を定期送信する／既存顧客向け再訪導線を設計する	解除率が上昇する可能性がある／コンテンツ制作負荷が増える	A16（限定キャンペーン）→一般流入+300/CVR+0.0015/AOV+200	GI / CVR / AOV
A18	LINE施策	A18｜LINE施策	E	CRM	2	500	0	0	0.02	0.0005	0	0	LINE公式アカウントを運用する／クーポン配信を行う／ステップ配信を設計する	ブロック率が上昇する可能性がある／運用設計に工数がかかる	A12（動画コンテンツ導入）→一般流入+200/回遊+0.02/CVR+0.0005/AOV+100	GI / BR / CVR
A19	リターゲティング	A19｜リターゲティング	E	CRM	2	0	600	0	0	0.0007	0	0	追跡広告を配信する／カゴ落ちユーザーへ再配信する／閲覧履歴ベース広告を配信する	広告嫌悪感を持たれる可能性がある／広告費が増加しやすい	A10（レビュー強化）→一般流入+200/広告流入+200/回遊+0.02/CVR+0.0005	AI / CVR
A20	会員制度導入	A20｜会員制度導入	E	CRM	2	0	0	0	0.01	0.0005	100	0	ポイント制度を導入する／ランク制度を設定する／会員限定特典を提供する	運用コストが増加する／制度が複雑化する可能性がある		BR / CVR / AOV
A21	広告精査	A21｜広告精査	F	広告最適化	1	0	300	0	0	0.0005	0	-5	成果の低い広告を停止する／無駄キーワードを削除する／媒体配分を見直す	流入が減少する可能性がある／機会損失が発生する場合がある	A03（広告出稿拡大）→広告流入+500/CVR+0.0005/CPC-5	AI / CVR / CPC
A22	ターゲティング改善	A22｜ターゲティング改善	F	広告最適化	2	0	0	0	0	0.0005	0	-3	ターゲット属性を見直す／配信セグメントを細分化する／類似オーディエンスを活用する	リーチが減少する可能性がある／配信対象が偏る場合がある	A13（LP改善）→広告流入+300/CVR+0.001/CPC-3	CVR / CPC
A23	クリエイティブ改善	A23｜クリエイティブ改善	F	広告最適化	1	0	0	0	0.005	0.0005	0	-2	広告バナーを改善する／訴求コピーを見直す／ABテストで表現を最適化する	制作負荷が増加する／効果変動が大きい場合がある		BR / CVR / CPC
A24	入札最適化	A24｜入札最適化	F	広告最適化	2	0	0	0	0	0	0	-8	入札単価を最適化する／自動入札を活用する／時間帯別に入札調整を行う	表示回数が減少する可能性がある／細かい制御が難しくなる		CPC
